Radionuclide	Fe-60
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.1
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.1E-1	-	-	4.8E-2	6.2E-2	1.2E-1	4.8E-2
0.083333	6.1E-1	-	-	4.0E-2	3.7E-2	2.4E-1	4.2E-2
0.125	6.1E-1	-	-	3.4E-2	2.4E-2	3.2E-1	3.7E-2
0.25	6.1E-1	-	-	2.9E-2	8.8E-3	4.2E-1	3.2E-2
0.375	6.1E-1	-	-	3.0E-2	6.2E-3	4.4E-1	3.2E-2
0.5	6.0E-1	-	-	3.1E-2	6.7E-3	4.4E-1	3.3E-2
0.625	6.0E-1	-	-	3.2E-2	8.0E-3	4.3E-1	3.5E-2
0.75	6.0E-1	-	-	3.3E-2	9.4E-3	4.3E-1	3.7E-2
0.875	6.0E-1	-	-	3.4E-2	1.1E-2	4.2E-1	3.8E-2
1	5.9E-1	8.3E-5	5.0E-3	3.4E-2	1.2E-2	4.1E-1	4.0E-2
1.125	5.9E-1	-	-	3.3E-2	1.4E-2	4.0E-1	4.1E-2
1.25	5.9E-1	-	-	3.3E-2	1.5E-2	3.9E-1	4.3E-2
1.375	5.9E-1	-	-	3.2E-2	1.6E-2	3.8E-1	4.4E-2
1.5	5.9E-1	-	-	3.1E-2	1.8E-2	3.8E-1	4.5E-2
1.625	5.8E-1	-	-	3.0E-2	1.9E-2	3.7E-1	4.7E-2
1.75	5.8E-1	-	-	2.9E-2	2.0E-2	3.6E-1	4.8E-2
1.875	5.8E-1	-	-	2.8E-2	2.1E-2	3.5E-1	4.9E-2
2	5.8E-1	7.0E-6	1.5E-2	2.7E-2	2.2E-2	3.4E-1	5.0E-2
2.25	5.8E-1	-	-	2.5E-2	2.4E-2	3.3E-1	5.3E-2
2.5	5.7E-1	-	-	2.4E-2	2.6E-2	3.1E-1	5.5E-2
2.75	5.7E-1	-	-	2.3E-2	2.8E-2	3.0E-1	5.7E-2
3	5.7E-1	7.7E-6	9.3E-3	2.2E-2	3.0E-2	2.8E-1	5.9E-2
3.25	5.7E-1	-	-	2.2E-2	3.2E-2	2.7E-1	6.1E-2
3.5	5.7E-1	-	-	2.2E-2	3.4E-2	2.6E-1	6.2E-2
3.75	5.7E-1	-	-	2.2E-2	3.5E-2	2.5E-1	6.4E-2
4	5.7E-1	7.9E-6	3.5E-3	2.2E-2	3.6E-2	2.3E-1	6.5E-2
4.25	5.7E-1	-	-	2.3E-2	3.8E-2	2.2E-1	6.7E-2
4.5	5.6E-1	-	-	2.3E-2	3.9E-2	2.1E-1	6.8E-2
4.75	5.6E-1	-	-	2.3E-2	4.0E-2	2.1E-1	6.9E-2
5	5.6E-1	8.0E-6	1.1E-3	2.4E-2	4.1E-2	2.0E-1	7.0E-2
5.5	5.6E-1	-	-	2.5E-2	4.3E-2	1.8E-1	7.3E-2
6	5.6E-1	8.1E-6	3.4E-4	2.6E-2	4.5E-2	1.7E-1	7.4E-2
6.5	5.6E-1	-	-	2.7E-2	4.7E-2	1.5E-1	7.6E-2
7	5.6E-1	8.1E-6	1.6E-4	2.7E-2	4.8E-2	1.4E-1	7.8E-2
7.5	5.6E-1	-	-	2.8E-2	4.9E-2	1.3E-1	7.9E-2
8	5.6E-1	8.1E-6	1.2E-4	2.9E-2	5.0E-2	1.2E-1	8.0E-2
8.5	5.6E-1	-	-	2.9E-2	5.1E-2	1.2E-1	8.1E-2
9	5.6E-1	8.1E-6	1.1E-4	3.0E-2	5.2E-2	1.1E-1	8.2E-2
9.5	5.6E-1	-	-	3.0E-2	5.3E-2	1.0E-1	8.3E-2
10	5.6E-1	8.1E-6	1.1E-4	3.0E-2	5.3E-2	9.8E-2	8.4E-2
11	5.6E-1	8.1E-6	1.1E-4	3.1E-2	5.5E-2	9.0E-2	8.5E-2
12	5.6E-1	8.1E-6	1.1E-4	3.2E-2	5.5E-2	8.3E-2	8.6E-2
13	5.6E-1	8.1E-6	1.1E-4	3.2E-2	5.6E-2	7.8E-2	8.6E-2
14	5.6E-1	8.1E-6	1.1E-4	3.2E-2	5.6E-2	7.4E-2	8.7E-2
15	5.6E-1	8.1E-6	1.1E-4	3.2E-2	5.7E-2	7.0E-2	8.8E-2
16	5.6E-1	8.1E-6	1.1E-4	3.2E-2	5.7E-2	6.8E-2	8.8E-2
17	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.6E-2	8.8E-2
18	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.4E-2	8.9E-2
19	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.3E-2	8.9E-2
20	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.3E-2	8.9E-2
21	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.2E-2	8.9E-2
22	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.1E-2	8.9E-2
23	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.1E-2	8.9E-2
24	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.1E-2	8.9E-2
25	5.6E-1	8.1E-6	1.1E-4	3.3E-2	5.7E-2	6.1E-2	9.0E-2
26	5.6E-1	8.0E-6	1.1E-4	3.3E-2	5.7E-2	6.0E-2	9.0E-2
27	5.6E-1	8.0E-6	1.1E-4	3.3E-2	5.7E-2	6.0E-2	9.0E-2
28	5.6E-1	8.0E-6	1.1E-4	3.3E-2	5.7E-2	6.0E-2	9.0E-2
29	5.6E-1	8.0E-6	1.1E-4	3.3E-2	5.7E-2	6.0E-2	9.0E-2
30	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.0E-2	9.0E-2
31	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.0E-2	9.0E-2
32	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.0E-2	9.0E-2
33	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.0E-2	9.0E-2
34	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.0E-2	9.0E-2
35	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.1E-2	9.0E-2
36	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.7E-2	6.1E-2	9.0E-2
37	5.6E-1	8.0E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.0E-2
38	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.0E-2
39	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.0E-2
40	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.0E-2
41	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.0E-2
42	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
43	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
44	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
45	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
46	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
47	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.1E-2	9.1E-2
48	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.2E-2	9.1E-2
49	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.6E-2	6.2E-2	9.1E-2
50	5.6E-1	7.9E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
51	5.6E-1	7.8E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
52	5.6E-1	7.8E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
53	5.6E-1	7.8E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
54	5.6E-1	7.8E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
55	5.6E-1	7.8E-6	1.1E-4	3.2E-2	5.5E-2	6.2E-2	9.1E-2
56	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.2E-2	9.1E-2
57	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.2E-2	9.1E-2
58	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.2E-2	9.1E-2
59	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.2E-2	9.1E-2
60	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.2E-2	9.1E-2
61	5.6E-1	7.8E-6	1.1E-4	3.1E-2	5.5E-2	6.3E-2	9.1E-2
