Radionuclide	Be-10
Route of Intake	Inhalation
Material	Aerosols Type M, fA=1E-3
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.8E-2	6.6E-1	4.2E-3	1.0E-3
0.083333	8.7E-1	-	-	9.4E-2	6.4E-1	8.6E-3	1.8E-3
0.125	8.6E-1	-	-	1.1E-1	6.3E-1	1.2E-2	2.4E-3
0.25	8.5E-1	-	-	1.3E-1	5.9E-1	2.1E-2	3.8E-3
0.375	8.4E-1	-	-	1.5E-1	5.6E-1	2.8E-2	4.7E-3
0.5	8.3E-1	-	-	1.6E-1	5.5E-1	3.2E-2	5.3E-3
0.625	8.2E-1	-	-	1.7E-1	5.3E-1	3.5E-2	5.7E-3
0.75	8.1E-1	-	-	1.8E-1	5.2E-1	3.7E-2	5.9E-3
0.875	8.0E-1	-	-	1.8E-1	5.1E-1	3.9E-2	6.0E-3
1	7.9E-1	2.6E-2	2.8E-2	1.7E-1	5.1E-1	4.0E-2	6.1E-3
1.125	7.8E-1	-	-	1.7E-1	5.0E-1	4.1E-2	6.1E-3
1.25	7.7E-1	-	-	1.6E-1	5.0E-1	4.1E-2	6.0E-3
1.375	7.6E-1	-	-	1.6E-1	4.9E-1	4.2E-2	6.0E-3
1.5	7.4E-1	-	-	1.5E-1	4.9E-1	4.2E-2	5.9E-3
1.625	7.3E-1	-	-	1.4E-1	4.9E-1	4.3E-2	5.9E-3
1.75	7.2E-1	-	-	1.3E-1	4.8E-1	4.3E-2	5.8E-3
1.875	7.0E-1	-	-	1.2E-1	4.8E-1	4.3E-2	5.7E-3
2	6.9E-1	3.0E-3	9.4E-2	1.1E-1	4.8E-1	4.4E-2	5.7E-3
2.25	6.7E-1	-	-	9.7E-2	4.7E-1	4.4E-2	5.5E-3
2.5	6.5E-1	-	-	8.3E-2	4.7E-1	4.5E-2	5.4E-3
2.75	6.3E-1	-	-	7.1E-2	4.6E-1	4.5E-2	5.3E-3
3	6.2E-1	1.4E-3	7.2E-2	6.2E-2	4.6E-1	4.6E-2	5.1E-3
3.25	6.1E-1	-	-	5.4E-2	4.5E-1	4.6E-2	5.0E-3
3.5	6.0E-1	-	-	4.7E-2	4.5E-1	4.6E-2	4.9E-3
3.75	5.9E-1	-	-	4.2E-2	4.4E-1	4.7E-2	4.8E-3
4	5.8E-1	1.2E-3	3.9E-2	3.8E-2	4.4E-1	4.7E-2	4.7E-3
4.25	5.7E-1	-	-	3.5E-2	4.3E-1	4.8E-2	4.6E-3
4.5	5.6E-1	-	-	3.2E-2	4.3E-1	4.8E-2	4.5E-3
4.75	5.6E-1	-	-	3.0E-2	4.3E-1	4.9E-2	4.4E-3
5	5.5E-1	1.2E-3	2.3E-2	2.8E-2	4.2E-1	4.9E-2	4.4E-3
5.5	5.4E-1	-	-	2.5E-2	4.2E-1	5.0E-2	4.2E-3
6	5.4E-1	1.1E-3	1.6E-2	2.2E-2	4.1E-1	5.1E-2	4.1E-3
6.5	5.3E-1	-	-	2.0E-2	4.1E-1	5.1E-2	4.0E-3
7	5.2E-1	1.1E-3	1.3E-2	1.8E-2	4.0E-1	5.2E-2	3.9E-3
7.5	5.2E-1	-	-	1.7E-2	4.0E-1	5.3E-2	3.8E-3
8	5.1E-1	1.0E-3	1.0E-2	1.5E-2	3.9E-1	5.3E-2	3.8E-3
8.5	5.1E-1	-	-	1.4E-2	3.9E-1	5.4E-2	3.7E-3
