Radionuclide	In-114m
Route of Intake	Inhalation
Material	Aerosols Type M, fA=1E-3
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.7E-1	-	-	2.5E-1	1.0E-1	2.9E-4	4.0E-4
0.083333	7.6E-1	-	-	2.9E-1	9.5E-2	4.8E-4	6.5E-4
0.125	7.5E-1	-	-	3.1E-1	9.1E-2	6.7E-4	8.7E-4
0.25	7.3E-1	-	-	3.7E-1	8.3E-2	1.2E-3	1.4E-3
0.375	7.1E-1	-	-	4.1E-1	7.9E-2	1.6E-3	1.8E-3
0.5	6.9E-1	-	-	4.4E-1	7.7E-2	1.9E-3	2.2E-3
0.625	6.6E-1	-	-	4.5E-1	7.5E-2	2.2E-3	2.4E-3
0.75	6.4E-1	-	-	4.6E-1	7.4E-2	2.4E-3	2.6E-3
0.875	6.1E-1	-	-	4.5E-1	7.3E-2	2.6E-3	2.8E-3
1	5.8E-1	7.5E-6	7.6E-2	4.4E-1	7.2E-2	2.7E-3	3.0E-3
1.125	5.5E-1	-	-	4.2E-1	7.1E-2	2.8E-3	3.1E-3
1.25	5.2E-1	-	-	4.0E-1	7.0E-2	2.9E-3	3.1E-3
1.375	4.9E-1	-	-	3.7E-1	7.0E-2	2.9E-3	3.2E-3
1.5	4.5E-1	-	-	3.4E-1	6.9E-2	3.0E-3	3.3E-3
1.625	4.2E-1	-	-	3.2E-1	6.9E-2	3.0E-3	3.3E-3
1.75	3.9E-1	-	-	2.9E-1	6.8E-2	3.0E-3	3.4E-3
1.875	3.6E-1	-	-	2.6E-1	6.8E-2	3.0E-3	3.4E-3
2	3.3E-1	1.3E-5	2.4E-1	2.3E-1	6.7E-2	3.0E-3	3.4E-3
2.25	2.8E-1	-	-	1.8E-1	6.7E-2	2.9E-3	3.4E-3
2.5	2.3E-1	-	-	1.4E-1	6.6E-2	2.9E-3	3.4E-3
2.75	2.0E-1	-	-	1.1E-1	6.5E-2	2.9E-3	3.4E-3
3	1.7E-1	1.4E-5	1.5E-1	8.1E-2	6.5E-2	2.8E-3	3.4E-3
3.25	1.5E-1	-	-	6.0E-2	6.4E-2	2.8E-3	3.4E-3
3.5	1.3E-1	-	-	4.4E-2	6.3E-2	2.8E-3	3.4E-3
3.75	1.2E-1	-	-	3.2E-2	6.3E-2	2.8E-3	3.4E-3
4	1.1E-1	1.5E-5	5.8E-2	2.4E-2	6.2E-2	2.7E-3	3.4E-3
4.25	1.0E-1	-	-	1.7E-2	6.2E-2	2.7E-3	3.4E-3
4.5	9.6E-2	-	-	1.3E-2	6.1E-2	2.7E-3	3.4E-3
4.75	9.2E-2	-	-	9.5E-3	6.0E-2	2.7E-3	3.4E-3
5	8.9E-2	1.5E-5	1.7E-2	7.2E-3	6.0E-2	2.7E-3	3.4E-3
5.5	8.5E-2	-	-	4.3E-3	5.9E-2	2.6E-3	3.4E-3
6	8.3E-2	1.4E-5	4.9E-3	2.9E-3	5.8E-2	2.6E-3	3.4E-3
6.5	8.1E-2	-	-	2.2E-3	5.7E-2	2.6E-3	3.3E-3
7	8.0E-2	1.4E-5	1.7E-3	1.8E-3	5.6E-2	2.6E-3	3.3E-3
7.5	7.9E-2	-	-	1.6E-3	5.6E-2	2.6E-3	3.3E-3
8	7.8E-2	1.4E-5	9.0E-4	1.4E-3	5.5E-2	2.6E-3	3.3E-3
8.5	7.7E-2	-	-	1.3E-3	5.4E-2	2.6E-3	3.3E-3
9	7.6E-2	1.3E-5	6.4E-4	1.2E-3	5.3E-2	2.6E-3	3.3E-3
9.5	7.5E-2	-	-	1.1E-3	5.3E-2	2.6E-3	3.3E-3
10	7.5E-2	1.3E-5	5.1E-4	1.0E-3	5.2E-2	2.6E-3	3.3E-3
11	7.3E-2	1.2E-5	4.2E-4	9.3E-4	5.1E-2	2.5E-3	3.3E-3
12	7.2E-2	1.2E-5	3.6E-4	8.4E-4	4.9E-2	2.5E-3	3.3E-3
13	7.1E-2	1.2E-5	3.1E-4	7.7E-4	4.8E-2	2.5E-3	3.3E-3
14	6.9E-2	1.1E-5	2.6E-4	7.1E-4	4.7E-2	2.5E-3	3.3E-3
15	6.8E-2	1.1E-5	2.3E-4	6.6E-4	4.6E-2	2.5E-3	3.3E-3
16	6.7E-2	1.0E-5	2.0E-4	6.2E-4	4.5E-2	2.5E-3	3.2E-3
17	6.6E-2	1.0E-5	1.8E-4	5.9E-4	4.4E-2	2.5E-3	3.2E-3
18	6.5E-2	9.8E-6	1.6E-4	5.6E-4	4.3E-2	2.5E-3	3.2E-3
19	6.4E-2	9.4E-6	1.5E-4	5.4E-4	4.2E-2	2.4E-3	3.2E-3
20	6.3E-2	9.1E-6	1.4E-4	5.2E-4	4.1E-2	2.4E-3	3.2E-3
21	6.2E-2	8.9E-6	1.3E-4	5.0E-4	4.0E-2	2.4E-3	3.2E-3
22	6.1E-2	8.6E-6	1.2E-4	4.9E-4	4.0E-2	2.4E-3	3.2E-3
23	6.0E-2	8.3E-6	1.1E-4	4.8E-4	3.9E-2	2.4E-3	3.2E-3
24	5.9E-2	8.1E-6	1.0E-4	4.7E-4	3.8E-2	2.4E-3	3.1E-3
25	5.8E-2	7.8E-6	9.8E-5	4.6E-4	3.7E-2	2.4E-3	3.1E-3
26	5.7E-2	7.6E-6	9.4E-5	4.5E-4	3.6E-2	2.3E-3	3.1E-3
27	5.6E-2	7.4E-6	9.0E-5	4.4E-4	3.6E-2	2.3E-3	3.1E-3
28	5.5E-2	7.2E-6	8.6E-5	4.3E-4	3.5E-2	2.3E-3	3.1E-3
29	5.4E-2	6.9E-6	8.3E-5	4.3E-4	3.4E-2	2.3E-3	3.1E-3
30	5.3E-2	6.8E-6	8.0E-5	4.2E-4	3.3E-2	2.3E-3	3.0E-3
31	5.3E-2	6.6E-6	7.8E-5	4.1E-4	3.3E-2	2.3E-3	3.0E-3
32	5.2E-2	6.4E-6	7.6E-5	4.1E-4	3.2E-2	2.3E-3	3.0E-3
33	5.1E-2	6.2E-6	7.4E-5	4.0E-4	3.1E-2	2.2E-3	3.0E-3
34	5.0E-2	6.0E-6	7.2E-5	4.0E-4	3.1E-2	2.2E-3	3.0E-3
35	4.9E-2	5.9E-6	7.0E-5	3.9E-4	3.0E-2	2.2E-3	3.0E-3
36	4.9E-2	5.7E-6	6.8E-5	3.9E-4	2.9E-2	2.2E-3	2.9E-3
37	4.8E-2	5.6E-6	6.6E-5	3.8E-4	2.9E-2	2.2E-3	2.9E-3
38	4.7E-2	5.4E-6	6.5E-5	3.8E-4	2.8E-2	2.2E-3	2.9E-3
39	4.6E-2	5.3E-6	6.3E-5	3.7E-4	2.8E-2	2.1E-3	2.9E-3
40	4.6E-2	5.2E-6	6.2E-5	3.7E-4	2.7E-2	2.1E-3	2.9E-3
41	4.5E-2	5.0E-6	6.1E-5	3.6E-4	2.7E-2	2.1E-3	2.8E-3
42	4.4E-2	4.9E-6	5.9E-5	3.6E-4	2.6E-2	2.1E-3	2.8E-3
43	4.4E-2	4.8E-6	5.8E-5	3.6E-4	2.5E-2	2.1E-3	2.8E-3
44	4.3E-2	4.7E-6	5.7E-5	3.5E-4	2.5E-2	2.1E-3	2.8E-3
45	4.2E-2	4.6E-6	5.6E-5	3.5E-4	2.4E-2	2.0E-3	2.8E-3
46	4.2E-2	4.4E-6	5.4E-5	3.4E-4	2.4E-2	2.0E-3	2.7E-3
47	4.1E-2	4.3E-6	5.3E-5	3.4E-4	2.3E-2	2.0E-3	2.7E-3
48	4.0E-2	4.2E-6	5.2E-5	3.4E-4	2.3E-2	2.0E-3	2.7E-3
49	4.0E-2	4.1E-6	5.1E-5	3.3E-4	2.2E-2	2.0E-3	2.7E-3
50	3.9E-2	4.1E-6	5.0E-5	3.3E-4	2.2E-2	2.0E-3	2.7E-3
51	3.9E-2	4.0E-6	4.9E-5	3.2E-4	2.2E-2	1.9E-3	2.6E-3
52	3.8E-2	3.9E-6	4.8E-5	3.2E-4	2.1E-2	1.9E-3	2.6E-3
53	3.7E-2	3.8E-6	4.7E-5	3.2E-4	2.1E-2	1.9E-3	2.6E-3
54	3.7E-2	3.7E-6	4.6E-5	3.1E-4	2.0E-2	1.9E-3	2.6E-3
55	3.6E-2	3.6E-6	4.5E-5	3.1E-4	2.0E-2	1.9E-3	2.6E-3
56	3.6E-2	3.5E-6	4.4E-5	3.1E-4	1.9E-2	1.9E-3	2.5E-3
57	3.5E-2	3.5E-6	4.3E-5	3.0E-4	1.9E-2	1.8E-3	2.5E-3
58	3.5E-2	3.4E-6	4.2E-5	3.0E-4	1.9E-2	1.8E-3	2.5E-3
59	3.4E-2	3.3E-6	4.1E-5	2.9E-4	1.8E-2	1.8E-3	2.5E-3
60	3.4E-2	3.3E-6	4.1E-5	2.9E-4	1.8E-2	1.8E-3	2.4E-3
61	3.3E-2	3.2E-6	4.0E-5	2.9E-4	1.8E-2	1.8E-3	2.4E-3
62	3.3E-2	3.1E-6	3.9E-5	2.8E-4	1.7E-2	1.8E-3	2.4E-3
63	3.2E-2	3.1E-6	3.8E-5	2.8E-4	1.7E-2	1.7E-3	2.4E-3
64	3.2E-2	3.0E-6	3.7E-5	2.8E-4	1.6E-2	1.7E-3	2.4E-3
65	3.1E-2	2.9E-6	3.7E-5	2.7E-4	1.6E-2	1.7E-3	2.3E-3
66	3.1E-2	2.9E-6	3.6E-5	2.7E-4	1.6E-2	1.7E-3	2.3E-3
67	3.0E-2	2.8E-6	3.5E-5	2.7E-4	1.5E-2	1.7E-3	2.3E-3
68	3.0E-2	2.8E-6	3.4E-5	2.6E-4	1.5E-2	1.7E-3	2.3E-3
69	2.9E-2	2.7E-6	3.4E-5	2.6E-4	1.5E-2	1.6E-3	2.3E-3
70	2.9E-2	2.7E-6	3.3E-5	2.6E-4	1.5E-2	1.6E-3	2.2E-3
71	2.8E-2	2.6E-6	3.2E-5	2.6E-4	1.4E-2	1.6E-3	2.2E-3
72	2.8E-2	2.6E-6	3.2E-5	2.5E-4	1.4E-2	1.6E-3	2.2E-3
73	2.8E-2	2.5E-6	3.1E-5	2.5E-4	1.4E-2	1.6E-3	2.2E-3
74	2.7E-2	2.5E-6	3.0E-5	2.5E-4	1.3E-2	1.6E-3	2.2E-3
75	2.7E-2	2.4E-6	3.0E-5	2.4E-4	1.3E-2	1.5E-3	2.1E-3
76	2.6E-2	2.4E-6	2.9E-5	2.4E-4	1.3E-2	1.5E-3	2.1E-3
