Radionuclide	Pm-145
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.6E-1	-	-	2.4E-1	1.4E-2	2.5E-4	3.3E-4
0.083333	6.5E-1	-	-	2.7E-1	1.2E-2	3.9E-4	5.1E-4
0.125	6.4E-1	-	-	3.0E-1	1.1E-2	5.0E-4	6.4E-4
0.25	6.2E-1	-	-	3.5E-1	9.1E-3	7.4E-4	9.6E-4
0.375	6.0E-1	-	-	3.9E-1	8.3E-3	9.4E-4	1.2E-3
0.5	5.8E-1	-	-	4.2E-1	7.8E-3	1.1E-3	1.4E-3
0.625	5.6E-1	-	-	4.3E-1	7.4E-3	1.3E-3	1.6E-3
0.75	5.4E-1	-	-	4.4E-1	7.0E-3	1.4E-3	1.8E-3
0.875	5.2E-1	-	-	4.4E-1	6.7E-3	1.5E-3	2.0E-3
1	4.9E-1	3.2E-4	7.3E-2	4.2E-1	6.5E-3	1.6E-3	2.1E-3
1.125	4.6E-1	-	-	4.1E-1	6.3E-3	1.7E-3	2.2E-3
1.25	4.3E-1	-	-	3.9E-1	6.1E-3	1.8E-3	2.4E-3
1.375	4.0E-1	-	-	3.6E-1	5.9E-3	1.9E-3	2.5E-3
1.5	3.6E-1	-	-	3.3E-1	5.7E-3	2.0E-3	2.6E-3
1.625	3.3E-1	-	-	3.1E-1	5.6E-3	2.1E-3	2.6E-3
1.75	3.0E-1	-	-	2.8E-1	5.5E-3	2.1E-3	2.7E-3
1.875	2.7E-1	-	-	2.5E-1	5.3E-3	2.2E-3	2.8E-3
2	2.4E-1	1.3E-4	2.3E-1	2.3E-1	5.2E-3	2.2E-3	2.8E-3
2.25	1.9E-1	-	-	1.8E-1	5.1E-3	2.3E-3	2.9E-3
2.5	1.5E-1	-	-	1.4E-1	4.9E-3	2.4E-3	3.0E-3
