Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.9E-4	-	-	1.7E-5	1.5E-4	2.6E-8	1.4E-8
0.083333	7.7E-4	-	-	8.2E-5	5.9E-4	2.5E-7	1.1E-7
0.125	1.7E-3	-	-	2.0E-4	1.3E-3	8.7E-7	3.5E-7
0.25	6.3E-3	-	-	9.6E-4	4.8E-3	6.7E-6	2.4E-6
0.375	1.3E-2	-	-	2.3E-3	9.9E-3	2.0E-5	6.6E-6
0.5	2.2E-2	-	-	4.1E-3	1.6E-2	4.1E-5	1.3E-5
0.625	3.2E-2	-	-	6.4E-3	2.4E-2	6.9E-5	2.1E-5
0.75	4.2E-2	-	-	8.9E-3	3.2E-2	1.0E-4	3.0E-5
0.875	5.4E-2	-	-	1.1E-2	4.1E-2	1.4E-4	3.9E-5
1	6.5E-2	2.0E-4	2.7E-2	1.4E-2	5.0E-2	1.9E-4	4.9E-5
1.125	7.7E-2	-	-	1.6E-2	5.9E-2	2.3E-4	5.8E-5
1.25	8.8E-2	-	-	1.8E-2	6.8E-2	2.8E-4	6.8E-5
1.375	1.0E-1	-	-	2.0E-2	7.8E-2	3.3E-4	7.7E-5
1.5	1.1E-1	-	-	2.2E-2	8.7E-2	3.7E-4	8.6E-5
1.625	1.2E-1	-	-	2.3E-2	9.6E-2	4.2E-4	9.5E-5
1.75	1.3E-1	-	-	2.4E-2	1.1E-1	4.7E-4	1.0E-4
1.875	1.4E-1	-	-	2.4E-2	1.1E-1	5.2E-4	1.1E-4
2	1.5E-1	8.9E-5	9.3E-2	2.5E-2	1.2E-1	5.7E-4	1.2E-4
2.25	1.7E-1	-	-	2.5E-2	1.4E-1	6.6E-4	1.3E-4
2.5	1.8E-1	-	-	2.4E-2	1.6E-1	7.5E-4	1.5E-4
2.75	2.0E-1	-	-	2.4E-2	1.7E-1	8.3E-4	1.6E-4
3	2.1E-1	3.8E-5	7.5E-2	2.3E-2	1.9E-1	9.1E-4	1.7E-4
3.25	2.2E-1	-	-	2.2E-2	2.0E-1	9.8E-4	1.8E-4
3.5	2.3E-1	-	-	2.1E-2	2.1E-1	1.0E-3	1.9E-4
3.75	2.5E-1	-	-	2.0E-2	2.2E-1	1.1E-3	2.0E-4
4	2.6E-1	2.8E-5	4.3E-2	1.9E-2	2.4E-1	1.2E-3	2.1E-4
4.25	2.7E-1	-	-	1.9E-2	2.5E-1	1.2E-3	2.2E-4
4.5	2.8E-1	-	-	1.8E-2	2.6E-1	1.3E-3	2.2E-4
4.75	2.8E-1	-	-	1.8E-2	2.6E-1	1.3E-3	2.3E-4
5	2.9E-1	2.3E-5	2.7E-2	1.7E-2	2.7E-1	1.4E-3	2.3E-4
5.5	3.1E-1	-	-	1.6E-2	2.9E-1	1.5E-3	2.4E-4
6	3.2E-1	2.0E-5	2.0E-2	1.6E-2	3.0E-1	1.6E-3	2.5E-4
6.5	3.3E-1	-	-	1.5E-2	3.1E-1	1.6E-3	2.6E-4
7	3.4E-1	1.8E-5	1.6E-2	1.4E-2	3.3E-1	1.7E-3	2.6E-4
7.5	3.5E-1	-	-	1.3E-2	3.3E-1	1.7E-3	2.6E-4
8	3.6E-1	1.6E-5	1.3E-2	1.3E-2	3.4E-1	1.8E-3	2.7E-4
8.5	3.6E-1	-	-	1.2E-2	3.5E-1	1.8E-3	2.7E-4
9	3.7E-1	1.4E-5	1.1E-2	1.1E-2	3.6E-1	1.9E-3	2.7E-4
9.5	3.8E-1	-	-	1.1E-2	3.6E-1	1.9E-3	2.8E-4
