Radionuclide	Pu-236
Route of Intake	Inhalation
Material	Aerosols Type M, Plutonium citrate, plutonium tri-butyl-phosphate, plutonium chloride, fA=1E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.1E-1	-	-	3.6E-2	5.2E-1	9.6E-5	1.4E-4
0.083333	6.1E-1	-	-	4.4E-2	5.2E-1	2.0E-4	3.0E-4
0.125	6.1E-1	-	-	5.0E-2	5.1E-1	3.1E-4	4.7E-4
0.25	6.1E-1	-	-	6.2E-2	5.0E-1	6.7E-4	1.1E-3
0.375	6.0E-1	-	-	7.1E-2	4.9E-1	1.1E-3	1.8E-3
0.5	6.0E-1	-	-	7.7E-2	4.9E-1	1.5E-3	2.6E-3
0.625	6.0E-1	-	-	8.1E-2	4.8E-1	2.0E-3	3.5E-3
0.75	6.0E-1	-	-	8.3E-2	4.8E-1	2.5E-3	4.5E-3
0.875	5.9E-1	-	-	8.4E-2	4.7E-1	3.1E-3	5.5E-3
1	5.9E-1	1.4E-4	1.3E-2	8.4E-2	4.6E-1	3.6E-3	6.6E-3
1.125	5.8E-1	-	-	8.2E-2	4.6E-1	4.2E-3	7.7E-3
1.25	5.8E-1	-	-	8.0E-2	4.5E-1	4.8E-3	8.8E-3
1.375	5.7E-1	-	-	7.7E-2	4.5E-1	5.4E-3	1.0E-2
1.5	5.6E-1	-	-	7.4E-2	4.4E-1	6.0E-3	1.1E-2
1.625	5.6E-1	-	-	7.0E-2	4.4E-1	6.6E-3	1.2E-2
1.75	5.5E-1	-	-	6.6E-2	4.4E-1	7.1E-3	1.3E-2
1.875	5.5E-1	-	-	6.2E-2	4.3E-1	7.7E-3	1.5E-2
2	5.4E-1	3.0E-4	4.4E-2	5.8E-2	4.3E-1	8.3E-3	1.6E-2
2.25	5.3E-1	-	-	5.1E-2	4.2E-1	9.4E-3	1.8E-2
2.5	5.2E-1	-	-	4.5E-2	4.1E-1	1.1E-2	2.0E-2
2.75	5.1E-1	-	-	3.9E-2	4.1E-1	1.2E-2	2.2E-2
3	5.0E-1	3.0E-4	3.6E-2	3.4E-2	4.0E-1	1.3E-2	2.4E-2
3.25	5.0E-1	-	-	3.0E-2	3.9E-1	1.4E-2	2.6E-2
3.5	4.9E-1	-	-	2.7E-2	3.9E-1	1.5E-2	2.8E-2
3.75	4.9E-1	-	-	2.4E-2	3.8E-1	1.5E-2	3.0E-2
4	4.8E-1	2.7E-4	2.1E-2	2.2E-2	3.8E-1	1.6E-2	3.2E-2
4.25	4.8E-1	-	-	2.0E-2	3.7E-1	1.7E-2	3.3E-2
4.5	4.7E-1	-	-	1.9E-2	3.7E-1	1.8E-2	3.5E-2
4.75	4.7E-1	-	-	1.7E-2	3.7E-1	1.8E-2	3.6E-2
5	4.7E-1	2.2E-4	1.3E-2	1.6E-2	3.6E-1	1.9E-2	3.8E-2
5.5	4.6E-1	-	-	1.4E-2	3.6E-1	2.0E-2	4.0E-2
6	4.6E-1	1.8E-4	9.2E-3	1.3E-2	3.5E-1	2.1E-2	4.2E-2
6.5	4.5E-1	-	-	1.2E-2	3.5E-1	2.2E-2	4.4E-2
7	4.5E-1	1.5E-4	7.1E-3	1.1E-2	3.4E-1	2.3E-2	4.6E-2
7.5	4.5E-1	-	-	9.7E-3	3.4E-1	2.4E-2	4.8E-2
8	4.4E-1	1.3E-4	5.8E-3	8.9E-3	3.3E-1	2.5E-2	4.9E-2
8.5	4.4E-1	-	-	8.2E-3	3.3E-1	2.6E-2	5.1E-2
9	4.4E-1	1.1E-4	4.8E-3	7.5E-3	3.3E-1	2.6E-2	5.2E-2
9.5	4.4E-1	-	-	6.9E-3	3.3E-1	2.7E-2	5.3E-2
10	4.4E-1	9.7E-5	4.0E-3	6.4E-3	3.2E-1	2.7E-2	5.4E-2
11	4.3E-1	8.8E-5	3.4E-3	5.5E-3	3.2E-1	2.8E-2	5.6E-2
12	4.3E-1	8.1E-5	2.8E-3	4.8E-3	3.1E-1	2.9E-2	5.8E-2
13	4.3E-1	7.6E-5	2.4E-3	4.2E-3	3.1E-1	3.0E-2	6.0E-2
14	4.2E-1	7.2E-5	2.1E-3	3.7E-3	3.1E-1	3.1E-2	6.1E-2
15	4.2E-1	6.9E-5	1.8E-3	3.3E-3	3.0E-1	3.2E-2	6.3E-2
16	4.2E-1	6.6E-5	1.6E-3	3.0E-3	3.0E-1	3.2E-2	6.4E-2
17	4.2E-1	6.4E-5	1.4E-3	2.7E-3	3.0E-1	3.3E-2	6.5E-2
18	4.2E-1	6.2E-5	1.3E-3	2.5E-3	2.9E-1	3.4E-2	6.7E-2
19	4.1E-1	6.1E-5	1.2E-3	2.3E-3	2.9E-1	3.4E-2	6.8E-2
20	4.1E-1	5.9E-5	1.1E-3	2.2E-3	2.9E-1	3.5E-2	6.9E-2
21	4.1E-1	5.8E-5	9.7E-4	2.0E-3	2.9E-1	3.6E-2	7.0E-2
22	4.1E-1	5.7E-5	9.0E-4	1.9E-3	2.8E-1	3.6E-2	7.1E-2
23	4.1E-1	5.6E-5	8.5E-4	1.8E-3	2.8E-1	3.7E-2	7.2E-2
24	4.1E-1	5.5E-5	8.0E-4	1.8E-3	2.8E-1	3.7E-2	7.3E-2
25	4.1E-1	5.5E-5	7.6E-4	1.7E-3	2.8E-1	3.8E-2	7.4E-2
26	4.1E-1	5.4E-5	7.3E-4	1.6E-3	2.8E-1	3.8E-2	7.5E-2
27	4.0E-1	5.3E-5	7.0E-4	1.6E-3	2.7E-1	3.9E-2	7.6E-2
28	4.0E-1	5.3E-5	6.7E-4	1.6E-3	2.7E-1	3.9E-2	7.7E-2
29	4.0E-1	5.2E-5	6.5E-4	1.5E-3	2.7E-1	4.0E-2	7.7E-2
30	4.0E-1	5.2E-5	6.4E-4	1.5E-3	2.7E-1	4.0E-2	7.8E-2
31	4.0E-1	5.1E-5	6.2E-4	1.5E-3	2.6E-1	4.1E-2	7.9E-2
32	4.0E-1	5.1E-5	6.1E-4	1.4E-3	2.6E-1	4.1E-2	8.0E-2
33	4.0E-1	5.0E-5	6.0E-4	1.4E-3	2.6E-1	4.1E-2	8.1E-2
34	4.0E-1	5.0E-5	5.9E-4	1.4E-3	2.6E-1	4.2E-2	8.1E-2
35	4.0E-1	4.9E-5	5.8E-4	1.4E-3	2.6E-1	4.2E-2	8.2E-2
36	4.0E-1	4.9E-5	5.7E-4	1.4E-3	2.5E-1	4.3E-2	8.3E-2
37	4.0E-1	4.9E-5	5.6E-4	1.3E-3	2.5E-1	4.3E-2	8.4E-2
38	3.9E-1	4.8E-5	5.5E-4	1.3E-3	2.5E-1	4.4E-2	8.4E-2
39	3.9E-1	4.8E-5	5.5E-4	1.3E-3	2.5E-1	4.4E-2	8.5E-2
40	3.9E-1	4.8E-5	5.4E-4	1.3E-3	2.5E-1	4.4E-2	8.6E-2
41	3.9E-1	4.8E-5	5.3E-4	1.3E-3	2.5E-1	4.5E-2	8.6E-2
42	3.9E-1	4.7E-5	5.3E-4	1.3E-3	2.4E-1	4.5E-2	8.7E-2
43	3.9E-1	4.7E-5	5.2E-4	1.3E-3	2.4E-1	4.5E-2	8.8E-2
44	3.9E-1	4.7E-5	5.2E-4	1.3E-3	2.4E-1	4.6E-2	8.8E-2
45	3.9E-1	4.7E-5	5.1E-4	1.3E-3	2.4E-1	4.6E-2	8.9E-2
46	3.9E-1	4.6E-5	5.1E-4	1.2E-3	2.4E-1	4.7E-2	9.0E-2
47	3.9E-1	4.6E-5	5.0E-4	1.2E-3	2.3E-1	4.7E-2	9.0E-2
48	3.9E-1	4.6E-5	5.0E-4	1.2E-3	2.3E-1	4.7E-2	9.1E-2
49	3.9E-1	4.6E-5	4.9E-4	1.2E-3	2.3E-1	4.8E-2	9.1E-2
50	3.8E-1	4.6E-5	4.9E-4	1.2E-3	2.3E-1	4.8E-2	9.2E-2
51	3.8E-1	4.5E-5	4.8E-4	1.2E-3	2.3E-1	4.8E-2	9.3E-2
52	3.8E-1	4.5E-5	4.8E-4	1.2E-3	2.3E-1	4.9E-2	9.3E-2
53	3.8E-1	4.5E-5	4.7E-4	1.2E-3	2.2E-1	4.9E-2	9.4E-2
54	3.8E-1	4.5E-5	4.7E-4	1.2E-3	2.2E-1	4.9E-2	9.4E-2
