Radionuclide	Cf-248
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide, fA=1E-4
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	9.0E-5	6.5E-5
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1	2.2E-4	1.3E-4
0.125	5.0E-1	-	-	1.8E-1	1.3E-1	3.6E-4	1.9E-4
0.25	4.8E-1	-	-	2.1E-1	1.2E-1	8.2E-4	3.7E-4
0.375	4.7E-1	-	-	2.4E-1	1.2E-1	1.3E-3	5.5E-4
0.5	4.6E-1	-	-	2.5E-1	1.2E-1	1.7E-3	7.3E-4
0.625	4.5E-1	-	-	2.6E-1	1.2E-1	2.2E-3	9.1E-4
0.75	4.4E-1	-	-	2.6E-1	1.1E-1	2.6E-3	1.1E-3
0.875	4.2E-1	-	-	2.6E-1	1.1E-1	3.0E-3	1.2E-3
1	4.1E-1	6.9E-4	4.4E-2	2.5E-1	1.1E-1	3.4E-3	1.4E-3
1.125	3.9E-1	-	-	2.4E-1	1.1E-1	3.8E-3	1.6E-3
1.25	3.7E-1	-	-	2.3E-1	1.1E-1	4.2E-3	1.7E-3
1.375	3.5E-1	-	-	2.2E-1	1.1E-1	4.6E-3	1.9E-3
1.5	3.3E-1	-	-	2.0E-1	1.1E-1	4.9E-3	2.0E-3
1.625	3.1E-1	-	-	1.9E-1	1.1E-1	5.3E-3	2.2E-3
1.75	2.9E-1	-	-	1.7E-1	1.1E-1	5.6E-3	2.3E-3
1.875	2.7E-1	-	-	1.5E-1	1.0E-1	6.0E-3	2.4E-3
2	2.6E-1	6.6E-4	1.4E-1	1.4E-1	1.0E-1	6.3E-3	2.5E-3
2.25	2.3E-1	-	-	1.1E-1	1.0E-1	6.9E-3	2.8E-3
2.5	2.0E-1	-	-	8.5E-2	1.0E-1	7.4E-3	3.0E-3
2.75	1.8E-1	-	-	6.5E-2	9.9E-2	7.9E-3	3.2E-3
3	1.6E-1	5.1E-4	9.2E-2	5.0E-2	9.8E-2	8.4E-3	3.4E-3
3.25	1.5E-1	-	-	3.7E-2	9.6E-2	8.9E-3	3.6E-3
3.5	1.4E-1	-	-	2.8E-2	9.5E-2	9.3E-3	3.7E-3
3.75	1.3E-1	-	-	2.1E-2	9.4E-2	9.6E-3	3.9E-3
4	1.3E-1	3.9E-4	3.6E-2	1.6E-2	9.3E-2	1.0E-2	4.0E-3
4.25	1.2E-1	-	-	1.2E-2	9.2E-2	1.0E-2	4.1E-3
4.5	1.2E-1	-	-	9.2E-3	9.2E-2	1.1E-2	4.2E-3
4.75	1.2E-1	-	-	7.1E-3	9.1E-2	1.1E-2	4.3E-3
5	1.1E-1	2.9E-4	1.1E-2	5.7E-3	9.0E-2	1.1E-2	4.4E-3
5.5	1.1E-1	-	-	3.8E-3	8.9E-2	1.2E-2	4.6E-3
6	1.1E-1	2.2E-4	3.9E-3	2.8E-3	8.7E-2	1.2E-2	4.8E-3
6.5	1.1E-1	-	-	2.3E-3	8.6E-2	1.2E-2	4.9E-3
7	1.1E-1	1.7E-4	1.8E-3	1.9E-3	8.5E-2	1.2E-2	5.0E-3
7.5	1.1E-1	-	-	1.7E-3	8.4E-2	1.3E-2	5.1E-3
8	1.1E-1	1.4E-4	1.2E-3	1.5E-3	8.4E-2	1.3E-2	5.2E-3
8.5	1.1E-1	-	-	1.4E-3	8.3E-2	1.3E-2	5.2E-3
9	1.1E-1	1.2E-4	9.0E-4	1.3E-3	8.2E-2	1.3E-2	5.3E-3
9.5	1.1E-1	-	-	1.2E-3	8.1E-2	1.3E-2	5.4E-3
10	1.0E-1	1.0E-4	7.4E-4	1.1E-3	8.1E-2	1.4E-2	5.4E-3
11	1.0E-1	9.1E-5	6.3E-4	9.6E-4	8.0E-2	1.4E-2	5.5E-3
12	1.0E-1	8.3E-5	5.4E-4	8.4E-4	7.9E-2	1.4E-2	5.6E-3
13	1.0E-1	7.7E-5	4.7E-4	7.5E-4	7.8E-2	1.4E-2	5.7E-3
14	1.0E-1	7.2E-5	4.1E-4	6.7E-4	7.7E-2	1.5E-2	5.8E-3
15	1.0E-1	6.9E-5	3.6E-4	6.1E-4	7.6E-2	1.5E-2	5.8E-3
16	1.0E-1	6.6E-5	3.3E-4	5.6E-4	7.5E-2	1.5E-2	5.9E-3
17	9.9E-2	6.4E-5	3.0E-4	5.2E-4	7.4E-2	1.5E-2	6.0E-3
18	9.9E-2	6.2E-5	2.7E-4	4.9E-4	7.4E-2	1.5E-2	6.0E-3
19	9.8E-2	6.0E-5	2.5E-4	4.6E-4	7.3E-2	1.5E-2	6.1E-3
20	9.8E-2	5.8E-5	2.3E-4	4.4E-4	7.2E-2	1.6E-2	6.2E-3
21	9.7E-2	5.7E-5	2.2E-4	4.2E-4	7.2E-2	1.6E-2	6.2E-3
22	9.7E-2	5.6E-5	2.1E-4	4.0E-4	7.1E-2	1.6E-2	6.3E-3
23	9.7E-2	5.5E-5	2.0E-4	3.9E-4	7.0E-2	1.6E-2	6.3E-3
24	9.6E-2	5.4E-5	1.9E-4	3.8E-4	7.0E-2	1.6E-2	6.4E-3
25	9.6E-2	5.3E-5	1.8E-4	3.7E-4	6.9E-2	1.6E-2	6.4E-3
26	9.5E-2	5.2E-5	1.8E-4	3.6E-4	6.8E-2	1.6E-2	6.5E-3
27	9.5E-2	5.1E-5	1.7E-4	3.5E-4	6.8E-2	1.7E-2	6.5E-3
28	9.4E-2	5.1E-5	1.7E-4	3.5E-4	6.7E-2	1.7E-2	6.6E-3
29	9.4E-2	5.0E-5	1.7E-4	3.4E-4	6.6E-2	1.7E-2	6.6E-3
30	9.4E-2	4.9E-5	1.6E-4	3.4E-4	6.6E-2	1.7E-2	6.7E-3
31	9.3E-2	4.9E-5	1.6E-4	3.3E-4	6.5E-2	1.7E-2	6.7E-3
32	9.3E-2	4.8E-5	1.6E-4	3.3E-4	6.5E-2	1.7E-2	6.8E-3
33	9.2E-2	4.7E-5	1.5E-4	3.2E-4	6.4E-2	1.7E-2	6.8E-3
34	9.2E-2	4.7E-5	1.5E-4	3.2E-4	6.3E-2	1.8E-2	6.9E-3
35	9.2E-2	4.6E-5	1.5E-4	3.2E-4	6.3E-2	1.8E-2	6.9E-3
36	9.1E-2	4.6E-5	1.5E-4	3.2E-4	6.2E-2	1.8E-2	7.0E-3
37	9.1E-2	4.5E-5	1.5E-4	3.1E-4	6.2E-2	1.8E-2	7.0E-3
38	9.0E-2	4.5E-5	1.4E-4	3.1E-4	6.1E-2	1.8E-2	7.1E-3
39	9.0E-2	4.4E-5	1.4E-4	3.1E-4	6.1E-2	1.8E-2	7.1E-3
40	9.0E-2	4.4E-5	1.4E-4	3.1E-4	6.0E-2	1.8E-2	7.1E-3
41	8.9E-2	4.3E-5	1.4E-4	3.0E-4	6.0E-2	1.8E-2	7.2E-3
42	8.9E-2	4.3E-5	1.4E-4	3.0E-4	5.9E-2	1.9E-2	7.2E-3
43	8.9E-2	4.3E-5	1.4E-4	3.0E-4	5.9E-2	1.9E-2	7.3E-3
44	8.8E-2	4.2E-5	1.3E-4	3.0E-4	5.8E-2	1.9E-2	7.3E-3
45	8.8E-2	4.2E-5	1.3E-4	2.9E-4	5.8E-2	1.9E-2	7.3E-3
46	8.8E-2	4.1E-5	1.3E-4	2.9E-4	5.7E-2	1.9E-2	7.4E-3
47	8.7E-2	4.1E-5	1.3E-4	2.9E-4	5.6E-2	1.9E-2	7.4E-3
48	8.7E-2	4.1E-5	1.3E-4	2.9E-4	5.6E-2	1.9E-2	7.4E-3
49	8.6E-2	4.0E-5	1.3E-4	2.9E-4	5.5E-2	1.9E-2	7.5E-3
50	8.6E-2	4.0E-5	1.3E-4	2.8E-4	5.5E-2	2.0E-2	7.5E-3
51	8.6E-2	4.0E-5	1.3E-4	2.8E-4	5.4E-2	2.0E-2	7.6E-3
52	8.5E-2	3.9E-5	1.2E-4	2.8E-4	5.4E-2	2.0E-2	7.6E-3
53	8.5E-2	3.9E-5	1.2E-4	2.8E-4	5.4E-2	2.0E-2	7.6E-3
54	8.5E-2	3.9E-5	1.2E-4	2.8E-4	5.3E-2	2.0E-2	7.7E-3
55	8.4E-2	3.8E-5	1.2E-4	2.7E-4	5.3E-2	2.0E-2	7.7E-3
56	8.4E-2	3.8E-5	1.2E-4	2.7E-4	5.2E-2	2.0E-2	7.7E-3
57	8.4E-2	3.8E-5	1.2E-4	2.7E-4	5.2E-2	2.0E-2	7.7E-3
58	8.3E-2	3.7E-5	1.2E-4	2.7E-4	5.1E-2	2.0E-2	7.8E-3
59	8.3E-2	3.7E-5	1.2E-4	2.7E-4	5.1E-2	2.0E-2	7.8E-3
60	8.3E-2	3.7E-5	1.2E-4	2.6E-4	5.0E-2	2.1E-2	7.8E-3
61	8.2E-2	3.7E-5	1.1E-4	2.6E-4	5.0E-2	2.1E-2	7.9E-3
62	8.2E-2	3.6E-5	1.1E-4	2.6E-4	4.9E-2	2.1E-2	7.9E-3
63	8.2E-2	3.6E-5	1.1E-4	2.6E-4	4.9E-2	2.1E-2	7.9E-3
64	8.2E-2	3.6E-5	1.1E-4	2.6E-4	4.9E-2	2.1E-2	7.9E-3
65	8.1E-2	3.5E-5	1.1E-4	2.6E-4	4.8E-2	2.1E-2	8.0E-3
66	8.1E-2	3.5E-5	1.1E-4	2.5E-4	4.8E-2	2.1E-2	8.0E-3
67	8.1E-2	3.5E-5	1.1E-4	2.5E-4	4.7E-2	2.1E-2	8.0E-3
68	8.0E-2	3.5E-5	1.1E-4	2.5E-4	4.7E-2	2.1E-2	8.1E-3
69	8.0E-2	3.4E-5	1.1E-4	2.5E-4	4.6E-2	2.1E-2	8.1E-3
70	8.0E-2	3.4E-5	1.0E-4	2.5E-4	4.6E-2	2.1E-2	8.1E-3
71	7.9E-2	3.4E-5	1.0E-4	2.5E-4	4.6E-2	2.2E-2	8.1E-3
72	7.9E-2	3.4E-5	1.0E-4	2.4E-4	4.5E-2	2.2E-2	8.1E-3
73	7.9E-2	3.3E-5	1.0E-4	2.4E-4	4.5E-2	2.2E-2	8.2E-3
74	7.8E-2	3.3E-5	1.0E-4	2.4E-4	4.4E-2	2.2E-2	8.2E-3
75	7.8E-2	3.3E-5	1.0E-4	2.4E-4	4.4E-2	2.2E-2	8.2E-3
76	7.8E-2	3.3E-5	9.9E-5	2.4E-4	4.4E-2	2.2E-2	8.2E-3
77	7.8E-2	3.2E-5	9.8E-5	2.4E-4	4.3E-2	2.2E-2	8.3E-3
78	7.7E-2	3.2E-5	9.7E-5	2.3E-4	4.3E-2	2.2E-2	8.3E-3
79	7.7E-2	3.2E-5	9.6E-5	2.3E-4	4.2E-2	2.2E-2	8.3E-3
80	7.7E-2	3.2E-5	9.5E-5	2.3E-4	4.2E-2	2.2E-2	8.3E-3
81	7.6E-2	3.1E-5	9.4E-5	2.3E-4	4.2E-2	2.2E-2	8.3E-3
82	7.6E-2	3.1E-5	9.3E-5	2.3E-4	4.1E-2	2.2E-2	8.3E-3
83	7.6E-2	3.1E-5	9.2E-5	2.3E-4	4.1E-2	2.2E-2	8.4E-3
84	7.6E-2	3.1E-5	9.1E-5	2.3E-4	4.1E-2	2.2E-2	8.4E-3
85	7.5E-2	3.0E-5	9.1E-5	2.2E-4	4.0E-2	2.3E-2	8.4E-3
86	7.5E-2	3.0E-5	9.0E-5	2.2E-4	4.0E-2	2.3E-2	8.4E-3
